000.001;
-000.009;012.078;
-000.010;012.080;
-000.010;012.080;
-000.010;012.080;
-000.010;012.080;
-000.010;012.080;
-000.010;012.080;
-000.010;012.080;
-000.010;012.080;
-000.010;012.080;
-000.011;012.080;
-000.013;012.080;
-000.015;012.084;
-000.016;012.086;
-000.018;012.088;
-000.020;012.092;
-000.021;012.094;
-000.022;012.096;
-000.022;012.098;
-000.022;012.098;
-000.021;012.098;
-000.021;012.098;
-000.021;012.098;
-000.021;012.098;
-000.020;012.098;
-000.020;012.096;
-000.020;012.096;
-000.020;012.096;
-000.021;012.098;
-000.021;012.098;
-000.023;012.098;
-000.024;012.102;
-000.025;012.104;
-000.026;012.106;
-000.028;012.108;
-000.029;012.110;
-000.030;012.112;
-000.029;012.112;
-000.029;012.112;
-000.028;012.112;
-000.028;012.112;
-000.027;012.110;
-000.026;012.110;
-000.026;012.110;
-000.026;012.108;
-000.026;012.108;
-000.027;012.110;
-000.029;012.112;
-000.029;012.114;
-000.030;012.116;
-000.031;012.116;
-000.031;012.118;
-000.030;012.118;
-000.030;012.118;
-000.029;012.118;
-000.028;012.116;
-000.027;012.116;
-000.027;012.114;
-000.026;012.114;
-000.025;012.112;
-000.025;012.112;
-000.024;012.112;
-000.024;012.110;
-000.024;012.110;
-000.024;012.110;
-000.025;012.112;
-000.025;012.112;
-000.024;012.112;
-000.024;012.112;
-000.023;012.112;
-000.023;012.112;
-000.022;012.110;
-000.021;012.110;
-000.020;012.108;
-000.019;012.108;
-000.019;012.106;
-000.018;012.106;
-000.017;012.104;
-000.017;012.104;
-000.016;012.102;
-000.017;012.102;
-000.017;012.104;
-000.017;012.104;
-000.017;012.104;
-000.017;012.104;
-000.016;012.104;
-000.016;012.104;
-000.015;012.102;
-000.014;012.102;
-000.013;012.100;
-000.012;012.100;
-000.011;012.098;
-000.010;012.096;
-000.009;012.096;
-000.008;012.094;
-000.008;012.092;
-000.007;012.092;
-000.008;012.092;
-000.009;012.092;
-000.009;012.094;
-000.009;012.094;
-000.009;012.094;
-000.008;012.094;
-000.007;012.094;
-000.005;012.092;
-000.004;012.088;
-000.002;012.086;
-000.001;012.084;
-000.000;012.082;
000.001;012.080;
000.002;012.080;
000.003;012.080;
000.004;012.078;
000.005;012.076;
000.006;012.074;
000.008;012.072;
000.009;012.070;
000.009;012.070;
000.009;012.070;
000.008;012.068;
000.009;012.070;
000.009;012.068;
000.010;012.068;
000.011;012.066;
000.011;012.066;
000.012;012.064;
000.013;012.064;
000.013;012.062;
000.014;012.062;
000.014;012.060;
000.015;012.060;
000.015;012.058;
000.015;012.058;
000.016;012.058;
000.015;012.058;
000.014;012.058;
000.013;012.058;
000.013;012.060;
000.012;012.060;
000.012;012.062;
000.013;012.062;
000.014;012.060;
000.014;012.060;
000.015;012.058;
000.015;012.058;
000.016;012.056;
000.016;012.056;
000.016;012.054;
000.017;012.054;
000.017;012.054;
000.017;012.054;
000.017;012.052;
000.017;012.052;
000.017;012.052;
000.016;012.052;
000.014;012.054;
000.012;012.056;
000.010;012.060;
000.008;012.062;
000.008;012.064;
000.008;012.066;
000.008;012.066;
000.008;012.066;
000.008;012.064;
000.009;012.064;
000.009;012.064;
000.009;012.062;
000.010;012.062;
000.010;012.062;
000.010;012.062;
000.011;012.060;
000.011;012.060;
000.012;012.060;
000.012;012.058;
000.013;012.058;
000.014;012.056;
000.014;012.054;
000.014;012.054;
000.013;012.054;
000.013;012.056;
000.012;012.056;
000.012;012.056;
000.012;012.058;
000.012;012.058;
000.011;012.058;
000.011;012.058;
000.011;012.058;
000.011;012.058;
000.010;012.058;
000.010;012.058;
000.010;012.058;
000.010;012.060;
000.009;012.060;
000.008;012.060;
000.006;012.062;
000.004;012.064;
000.002;012.068;
000.001;012.070;
-000.000;012.072;
-000.002;012.074;
-000.003;012.078;
-000.004;012.080;
-000.005;012.080;
-000.005;012.080;
-000.005;012.080;
-000.005;012.080;
-000.005;012.080;
-000.005;012.080;
-000.005;012.080;
-000.005;012.080;
-000.005;012.080;
-000.006;012.080;
-000.006;012.082;
-000.006;012.082;
-000.007;012.082;
-000.009;012.084;
-000.011;012.088;
-000.013;012.090;
-000.014;012.092;
-000.015;012.094;
-000.015;012.096;
-000.015;012.096;
-000.015;012.096;
-000.014;012.096;
-000.014;012.096;
-000.014;012.096;
-000.013;012.094;
-000.013;012.094;
-000.012;012.094;
-000.012;012.092;
-000.012;012.092;
-000.013;012.092;
-000.014;012.094;
-000.015;012.096;
-000.016;012.098;
-000.018;012.100;
-000.018;012.102;
-000.018;012.102;
-000.018;012.102;
-000.017;012.102;
-000.017;012.102;
-000.016;012.102;
-000.016;012.100;
-000.015;012.100;
-000.015;012.100;
-000.015;012.098;
-000.014;012.098;
-000.015;012.098;
-000.016;012.100;
-000.017;012.100;
-000.019;012.104;
-000.020;012.106;
-000.021;012.108;
-000.021;012.108;
-000.021;012.110;
-000.021;012.110;
-000.020;012.110;
-000.020;012.108;
-000.019;012.108;
-000.018;012.106;
-000.017;012.106;
-000.017;012.106;
-000.016;012.104;
-000.016;012.104;
-000.016;012.104;
-000.017;012.104;
-000.018;012.106;
-000.018;012.106;
-000.019;012.108;
-000.020;012.108;
-000.021;012.110;
-000.020;012.112;
-000.020;012.112;
-000.019;012.110;
-000.018;012.110;
-000.017;012.108;
-000.016;012.106;
-000.015;012.106;
-000.014;012.104;
-000.013;012.102;
-000.012;012.102;
-000.013;012.100;
-000.014;012.102;
-000.014;012.102;
-000.014;012.104;
-000.015;012.104;
-000.016;012.104;
-000.015;012.106;
-000.015;012.106;
-000.014;012.106;
-000.013;012.104;
-000.012;012.102;
-000.011;012.102;
-000.010;012.100;
-000.009;012.098;
-000.008;012.096;
-000.007;012.096;
-000.008;012.094;
-000.009;012.096;
-000.009;012.098;
-000.010;012.098;
-000.011;012.100;
-000.011;012.100;
-000.010;012.100;
-000.009;012.100;
-000.008;012.098;
-000.007;012.096;
-000.006;012.096;
-000.005;012.094;
-000.004;012.092;
-000.003;012.092;
-000.002;012.090;
-000.002;012.088;
-000.001;012.088;
-000.003;012.088;
-000.004;012.090;
-000.005;012.090;
-000.006;012.092;
-000.006;012.094;
-000.006;012.094;
-000.006;012.094;
-000.005;012.094;
-000.004;012.094;
-000.004;012.092;
-000.003;012.092;
-000.002;012.090;
-000.001;012.090;
-000.001;012.088;
-000.000;012.088;
-000.000;012.086;
000.000;012.086;
000.000;012.084;
-000.000;012.086;
-000.001;012.086;
-000.002;012.088;
-000.003;012.090;
-000.003;012.090;
-000.003;012.090;
-000.002;012.090;
-000.002;012.090;
-000.001;012.088;
-000.001;012.088;
-000.000;012.088;
000.000;012.086;
000.000;012.086;
000.001;012.084;
000.001;012.084;
000.002;012.082;
000.002;012.082;
000.002;012.082;
000.001;012.082;
-000.000;012.084;
-000.001;012.086;
-000.001;012.088;
-000.001;012.088;
-000.000;012.088;
-000.000;012.086;
000.000;012.086;
000.000;012.086;
000.001;012.084;
000.002;012.084;
000.003;012.082;
000.003;012.082;
000.004;012.080;
000.005;012.080;
000.005;012.080;
000.007;012.078;
000.007;012.076;
000.006;012.076;
000.006;012.078;
000.006;012.078;
000.006;012.078;
000.007;012.078;
000.007;012.076;
000.008;012.076;
000.008;012.074;
000.009;012.074;
000.009;012.074;
000.010;012.072;
000.010;012.072;
000.011;012.070;
000.011;012.070;
000.011;012.070;
000.012;012.068;
000.012;012.068;
000.011;012.068;
000.009;012.070;
000.008;012.072;
000.007;012.072;
000.007;012.076;
000.007;012.074;
000.008;012.074;
000.008;012.074;
000.008;012.072;
000.009;012.072;
000.009;012.072;
000.010;012.070;
000.010;012.070;
000.010;012.070;
000.011;012.070;
000.011;012.068;
000.011;012.068;
000.011;012.068;
000.011;012.068;
000.012;012.066;
000.011;012.066;
000.010;012.066;
000.009;012.068;
000.009;012.070;
000.009;012.070;
000.010;012.070;
000.010;012.068;
000.010;012.068;
000.011;012.068;
000.011;012.068;
000.011;012.066;
000.012;012.066;
000.012;012.066;
000.013;012.064;
000.013;012.064;
000.013;012.064;
000.014;012.062;
000.015;012.062;
000.016;012.060;
000.015;012.058;
000.015;012.058;
000.015;012.058;
000.015;012.060;
000.016;012.060;
000.017;012.058;
000.017;012.056;
000.017;012.056;
000.018;012.056;
000.018;012.054;
000.018;012.054;
000.018;012.054;
000.018;012.054;
000.018;012.054;
000.018;012.054;
000.018;012.054;
000.018;012.054;
000.018;012.054;
000.017;012.054;
000.017;012.054;
000.017;012.054;
000.016;012.054;
000.014;012.056;
000.012;012.058;
000.010;012.060;
000.009;012.062;
000.007;012.064;
000.006;012.068;
000.004;012.070;
000.003;012.072;
000.003;012.072;
000.003;012.074;
000.003;012.072;
000.003;012.072;
000.004;012.072;
000.004;012.072;
000.004;012.072;
000.004;012.072;
000.004;012.072;
000.004;012.072;
000.004;012.072;
000.004;012.072;
000.004;012.072;
000.003;012.072;
000.003;012.072;
000.001;012.074;
-000.000;012.076;
-000.002;012.078;
-000.004;012.080;
-000.006;012.082;
-000.006;012.084;
-000.007;012.086;
-000.007;012.086;
-000.006;012.086;
-000.006;012.086;
-000.006;012.086;
-000.006;012.086;
-000.005;012.086;
-000.005;012.084;
-000.005;012.084;
-000.004;012.084;
-000.004;012.084;
-000.004;012.084;
-000.003;012.082;
-000.004;012.082;
-000.005;012.084;
-000.006;012.084;
-000.006;012.086;
-000.007;012.086;
-000.008;012.088;
-000.008;012.090;
-000.008;012.090;
-000.007;012.088;
-000.007;012.088;
-000.006;012.088;
-000.006;012.088;
-000.005;012.086;
-000.005;012.086;
-000.005;012.086;
-000.004;012.086;
-000.004;012.084;
-000.004;012.084;
-000.005;012.084;
-000.006;012.084;
-000.007;012.086;
-000.009;012.090;
-000.011;012.092;
-000.011;012.094;
-000.012;012.096;
-000.012;012.096;
-000.012;012.096;
-000.012;012.096;
-000.011;012.096;
-000.011;012.096;
-000.010;012.096;
-000.010;012.094;
-000.009;012.094;
-000.009;012.094;
-000.008;012.092;
-000.008;012.092;
-000.008;012.092;
-000.008;012.092;
-000.008;012.092;
-000.010;012.092;
-000.011;012.094;
-000.012;012.096;
-000.014;012.098;
-000.015;012.100;
-000.015;012.102;
-000.015;012.102;
-000.015;012.102;
-000.014;012.102;
-000.013;012.102;
-000.012;012.100;
-000.011;012.100;
-000.011;012.098;
-000.010;012.098;
-000.009;012.096;
-000.008;012.094;
-000.007;012.094;
-000.007;012.092;
-000.006;012.092;
-000.007;012.092;
-000.008;012.092;
-000.008;012.094;
-000.009;012.094;
-000.009;012.096;
-000.010;012.096;
-000.011;012.096;
-000.010;012.098;
-000.009;012.098;
-000.008;012.096;
-000.007;012.094;
-000.006;012.092;
-000.005;012.092;
-000.004;012.090;
-000.003;012.088;
-000.002;012.086;
-000.001;012.086;
-000.000;012.084;
000.000;012.082;
000.001;012.082;
000.001;012.080;
000.000;012.080;
000.000;012.080;
-000.000;012.082;
-000.000;012.082;
-000.001;012.084;
-000.001;012.086;
-000.001;012.086;
-000.000;012.084;
000.000;012.084;
000.001;012.082;
000.002;012.080;
000.002;012.080;
000.003;012.080;
000.004;012.078;
000.005;012.078;
000.006;012.076;
000.007;012.074;
000.007;012.074;
000.008;012.072;
000.008;012.072;
000.007;012.072;
000.006;012.072;
000.006;012.074;
000.005;012.074;
000.005;012.076;
000.006;012.076;
000.006;012.074;
000.007;012.074;
000.008;012.072;
000.008;012.072;
000.009;012.070;
000.010;012.070;
000.011;012.068;
000.012;012.066;
000.012;012.066;
000.013;012.064;
000.014;012.064;
000.014;012.062;
000.015;012.062;
000.016;012.060;
000.018;012.058;
000.018;012.056;
000.018;012.056;
000.018;012.056;
000.018;012.056;
000.019;012.054;
000.021;012.052;
000.022;012.050;
000.023;012.048;
000.024;012.046;
000.025;012.046;
000.025;012.044;
000.026;012.042;
000.026;012.042;
000.027;012.040;
000.027;012.040;
000.028;012.038;
000.028;012.038;
000.028;012.038;
000.029;012.036;
000.030;012.036;
000.031;012.034;
000.032;012.032;
000.032;012.030;
000.032;012.030;
000.032;012.030;
000.033;012.028;
000.034;012.028;
000.035;012.026;
000.036;012.024;
000.036;012.022;
000.036;012.022;
000.036;012.022;
000.036;012.020;
000.036;012.020;
000.036;012.020;
000.036;012.020;
000.036;012.020;
000.035;012.020;
000.035;012.020;
000.035;012.020;
000.034;012.020;
000.034;012.022;
000.034;012.022;
000.034;012.022;
000.034;012.022;
000.034;012.020;
000.034;012.020;
000.035;012.020;
000.034;012.018;
000.034;012.018;
000.034;012.020;
000.033;012.020;
000.033;012.020;
000.033;012.020;
000.032;012.020;
000.032;012.020;
000.031;012.020;
000.030;012.022;
000.030;012.022;
000.029;012.022;
000.029;012.022;
000.029;012.022;
000.029;012.022;
000.029;012.022;
000.029;012.022;
000.029;012.022;
000.029;012.022;
000.029;012.022;
000.028;012.022;
000.028;012.022;
000.027;012.024;
000.026;012.024;
000.025;012.024;
000.025;012.026;
000.024;012.026;
000.023;012.028;
000.022;012.028;
000.021;012.030;
000.021;012.030;
000.020;012.032;
000.019;012.032;
000.018;012.034;
000.017;012.034;
000.017;012.036;
000.015;012.036;
000.014;012.038;
000.012;012.040;
000.011;012.042;
000.009;012.044;
000.007;012.046;
000.005;012.050;
000.003;012.052;
000.001;012.056;
000.000;012.058;
-000.000;012.060;
-000.001;012.062;
-000.001;012.062;
-000.002;012.064;
-000.002;012.064;
-000.003;012.064;
-000.003;012.066;
-000.004;012.066;
-000.004;012.066;
-000.004;012.068;
-000.005;012.068;
-000.005;012.068;
-000.005;012.068;
-000.006;012.070;
-000.006;012.070;
-000.006;012.070;
-000.007;012.070;
-000.008;012.072;
-000.009;012.074;
-000.011;012.076;
-000.013;012.078;
-000.014;012.080;
-000.016;012.082;
-000.018;012.084;
-000.019;012.086;
-000.021;012.088;
-000.021;012.090;
-000.021;012.092;
-000.021;012.092;
-000.021;012.092;
-000.021;012.092;
-000.021;012.092;
-000.021;012.092;
-000.021;012.092;
-000.021;012.092;
-000.021;012.092;
-000.021;012.094;
-000.021;012.094;
-000.022;012.094;
-000.023;012.096;
-000.024;012.096;
-000.026;012.100;
-000.027;012.102;
-000.029;012.104;
-000.030;012.106;
-000.030;012.108;
-000.030;012.108;
-000.030;012.108;
-000.029;012.108;
-000.029;012.108;
-000.028;012.108;
-000.028;012.108;
-000.027;012.106;
-000.027;012.106;
-000.028;012.106;
-000.029;012.108;
-000.029;012.108;
-000.030;012.110;
-000.030;012.112;
-000.030;012.112;
-000.031;012.112;
-000.031;012.114;
-000.032;012.114;
-000.032;012.116;
-000.031;012.116;
-000.030;012.114;
-000.029;012.114;
-000.028;012.112;
-000.027;012.110;
-000.026;012.110;
-000.026;012.110;
-000.027;012.110;
-000.027;012.110;
-000.027;012.112;
-000.027;012.112;
-000.028;012.112;
-000.028;012.112;
-000.028;012.114;
-000.028;012.114;
-000.028;012.114;
-000.027;012.114;
-000.025;012.112;
-000.024;012.110;
-000.023;012.108;
-000.022;012.108;
-000.021;012.106;
-000.020;012.104;
-000.020;012.104;
-000.020;012.104;
-000.021;012.104;
-000.021;012.106;
-000.021;012.106;
-000.021;012.106;
-000.020;012.106;
-000.020;012.106;
-000.018;012.104;
-000.017;012.104;
-000.016;012.102;
-000.015;012.100;
-000.013;012.098;
-000.012;012.096;
-000.011;012.094;
-000.010;012.094;
-000.009;012.092;
-000.009;012.090;
-000.009;012.090;
-000.010;012.090;
-000.010;012.092;
-000.011;012.092;
-000.011;012.094;
-000.010;012.094;
-000.009;012.092;
-000.008;012.092;
-000.006;012.090;
-000.005;012.088;
-000.003;012.084;
-000.002;012.082;
-000.000;012.080;
000.000;012.080;
000.001;012.078;
000.003;012.076;
000.004;012.074;
000.006;012.072;
000.007;012.070;
000.007;012.068;
000.007;012.068;
000.008;012.068;
000.008;012.066;
000.010;012.066;
000.011;012.064;
000.013;012.062;
000.014;012.060;
000.015;012.056;
000.016;012.056;
000.017;012.054;
000.018;012.052;
000.019;012.050;
000.020;012.050;
000.021;012.048;
000.021;012.046;
000.022;012.046;
000.022;012.044;
000.023;012.044;
000.023;012.042;
000.024;012.042;
000.024;012.040;
000.025;012.040;
000.025;012.038;
000.024;012.040;
000.023;012.040;
000.024;012.040;
000.024;012.040;
000.024;012.040;
000.025;012.038;
000.025;012.038;
000.025;012.038;
000.025;012.036;
000.026;012.036;
000.026;012.036;
000.026;012.034;
000.026;012.034;
000.027;012.034;
000.027;012.034;
000.027;012.032;
000.027;012.032;
000.027;012.032;
000.028;012.032;
000.028;012.030;
000.029;012.030;
000.029;012.028;
000.029;012.028;
000.029;012.028;
000.029;012.028;
000.030;012.028;
000.030;012.026;
000.030;012.024;
000.030;012.024;
000.030;012.024;
000.030;012.024;
000.030;012.024;
000.030;012.024;
000.029;012.024;
000.029;012.024;
000.029;012.024;
000.028;012.024;
000.028;012.024;
000.027;012.026;
000.027;012.026;
000.026;012.026;
000.026;012.026;
000.025;012.028;
000.023;012.028;
000.022;012.030;
000.020;012.032;
000.019;012.034;
000.018;012.036;
000.016;012.038;
000.016;012.040;
000.015;012.040;
000.015;012.042;
000.014;012.042;
000.014;012.042;
000.014;012.042;
000.013;012.042;
000.013;012.044;
000.013;012.044;
000.012;012.044;
000.012;012.044;
000.011;012.046;
000.011;012.046;
000.010;012.046;
000.009;012.048;
000.008;012.048;
000.007;012.050;
000.004;012.052;
000.002;012.056;
000.000;012.058;
-000.001;012.062;
-000.001;012.064;
-000.002;012.064;
-000.002;012.066;
-000.002;012.066;
-000.002;012.066;
-000.003;012.066;
-000.003;012.068;
-000.003;012.068;
-000.003;012.068;
-000.003;012.068;
-000.003;012.068;
-000.004;012.068;
-000.004;012.070;
-000.005;012.070;
-000.006;012.072;
-000.008;012.072;
-000.010;012.076;
-000.012;012.078;
-000.014;012.080;
-000.015;012.082;
-000.016;012.084;
-000.017;012.086;
-000.017;012.088;
-000.018;012.088;
-000.018;012.088;
-000.018;012.088;
-000.018;012.088;
-000.018;012.088;
-000.017;012.088;
-000.018;012.090;
-000.018;012.090;
-000.019;012.090;
-000.020;012.092;
-000.021;012.094;
-000.023;012.096;
-000.025;012.098;
-000.026;012.100;
-000.027;012.104;
-000.027;012.104;
-000.027;012.106;
-000.027;012.106;
-000.027;012.106;
-000.026;012.106;
