-000.015;
-000.010;011.686;
-000.009;011.686;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.010;011.684;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.010;011.686;
-000.009;011.686;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.009;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.008;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.006;011.684;
-000.007;011.684;
-000.007;011.684;
-000.007;011.684;
