-000.006;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.036;000.001;
000.037;000.001;
000.037;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.035;000.001;
000.036;000.001;
000.035;000.001;
000.035;000.001;
000.036;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.036;000.001;
000.036;000.001;
000.035;000.001;
000.036;000.001;
000.035;000.001;
000.035;000.001;
000.036;000.001;
000.035;000.001;
000.035;000.001;
000.036;000.001;
000.035;000.001;
000.035;000.001;
000.036;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.036;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.036;000.001;
000.036;000.001;
000.035;000.001;
000.036;000.001;
000.036;000.001;
000.035;000.001;
000.036;000.001;
000.036;000.001;
000.035;000.001;
000.036;000.001;
000.036;000.001;
000.035;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.035;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.037;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.036;000.001;
000.036;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.036;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.037;000.001;
000.036;000.001;
000.037;000.001;
000.037;000.001;
